               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079844,            0.029974,            0.023748,             0.42017,             0.55223,             0.44252,             0.15551,            0.056705,            0.016504,            0.017999,            0.003314,            0.003314,            0.070174
                   1,            0.057155,            0.020817,            0.019844,             0.38163,             0.56995,             0.41003,             0.12997,            0.053276,            0.010629,            0.014072,           0.0065157,           0.0065157,            0.040043
                   2,            0.056171,             0.01674,            0.013707,              0.4084,             0.63351,             0.44001,             0.10998,            0.058106,           0.0083363,            0.010216,           0.0095854,           0.0095854,           0.0097792
                   3,            0.055564,            0.015776,            0.011876,             0.51403,             0.63062,             0.65122,             0.28637,             0.04434,           0.0087165,            0.010869,            0.009406,            0.009406,            0.009406
                   4,            0.046078,            0.014852,            0.010214,               0.676,             0.81184,             0.80597,             0.44379,            0.034889,           0.0084683,            0.005614,            0.009406,            0.009406,            0.009406
                   5,            0.039197,            0.014212,           0.0097045,             0.81622,             0.81127,             0.88516,             0.52639,             0.02888,           0.0084539,           0.0057872,            0.009208,            0.009208,            0.009208
                   6,             0.03877,            0.014293,           0.0078829,             0.74295,             0.72604,             0.78653,             0.44923,            0.031334,           0.0091193,           0.0064526,             0.00901,             0.00901,             0.00901
                   7,            0.037869,            0.015265,           0.0082068,              0.8461,             0.84687,              0.9076,             0.56118,            0.027295,            0.008108,           0.0036262,            0.008812,            0.008812,            0.008812
                   8,            0.036146,            0.014651,            0.007349,             0.84826,             0.83804,             0.91814,             0.56711,            0.026575,           0.0073885,           0.0048376,            0.008614,            0.008614,            0.008614
                   9,            0.033891,            0.014064,           0.0061521,             0.83889,             0.84878,             0.90813,             0.51866,             0.02995,           0.0078412,           0.0034951,            0.008416,            0.008416,            0.008416
                  10,            0.033924,            0.013632,           0.0056903,             0.84123,             0.78863,             0.89857,              0.5758,            0.025397,           0.0077894,           0.0045183,            0.008218,            0.008218,            0.008218
                  11,             0.03245,             0.01421,           0.0071861,              0.8149,             0.86544,             0.92772,             0.60746,            0.025585,            0.007117,           0.0045546,             0.00802,             0.00802,             0.00802
                  12,            0.030453,            0.013362,           0.0061864,             0.89452,             0.90486,             0.96178,             0.65009,            0.022156,           0.0068644,           0.0020995,            0.007822,            0.007822,            0.007822
                  13,            0.030229,            0.013933,           0.0059228,             0.87617,             0.90784,             0.95245,             0.65765,            0.022685,           0.0068272,           0.0027573,            0.007624,            0.007624,            0.007624
                  14,             0.02971,            0.013174,           0.0059254,             0.93978,             0.93448,             0.97937,             0.67468,            0.022124,           0.0066659,            0.001806,            0.007426,            0.007426,            0.007426
                  15,              0.0296,            0.012234,            0.004442,              0.9509,             0.93745,             0.98462,             0.69876,            0.020769,           0.0063329,           0.0012966,            0.007228,            0.007228,            0.007228
                  16,            0.028451,            0.012195,           0.0040586,             0.92924,             0.96441,             0.98403,              0.7037,             0.02137,           0.0061035,           0.0013558,             0.00703,             0.00703,             0.00703
                  17,            0.027775,            0.012234,           0.0040208,             0.96221,             0.97394,              0.9903,             0.72018,            0.019141,           0.0059038,          0.00089772,            0.006832,            0.006832,            0.006832
                  18,            0.026747,            0.011391,           0.0035496,              0.9712,             0.97981,              0.9911,             0.76156,            0.017999,           0.0055374,          0.00072095,            0.006634,            0.006634,            0.006634
                  19,            0.025474,             0.01105,           0.0030418,             0.95908,             0.96728,             0.98915,             0.74862,            0.018993,           0.0056578,           0.0019128,            0.006436,            0.006436,            0.006436
                  20,            0.025801,            0.011937,           0.0045072,             0.97378,             0.94899,             0.98821,             0.74639,            0.019327,            0.005818,           0.0015161,            0.006238,            0.006238,            0.006238
                  21,            0.025689,            0.011324,           0.0029076,             0.95736,             0.97293,             0.98555,             0.75562,            0.017875,           0.0055574,           0.0016845,             0.00604,             0.00604,             0.00604
                  22,            0.024982,            0.011173,           0.0039348,             0.94682,             0.93709,             0.97708,             0.72984,            0.018273,           0.0060277,           0.0011768,            0.005842,            0.005842,            0.005842
                  23,            0.025231,            0.011556,           0.0039092,             0.98173,             0.97195,             0.99312,             0.76343,            0.017033,            0.005504,           0.0008236,            0.005644,            0.005644,            0.005644
                  24,            0.024648,            0.011074,           0.0040728,             0.95176,             0.97422,              0.9897,             0.77208,            0.017268,           0.0054406,            0.001146,            0.005446,            0.005446,            0.005446
                  25,            0.023577,            0.011582,            0.003751,             0.95771,             0.98159,             0.99066,             0.78702,            0.016523,           0.0053549,           0.0010392,            0.005248,            0.005248,            0.005248
                  26,            0.022085,            0.010886,           0.0034508,             0.96242,             0.98565,             0.99263,             0.77902,            0.015953,           0.0051573,          0.00061318,             0.00505,             0.00505,             0.00505
                  27,            0.022462,             0.01054,           0.0027525,             0.97314,             0.98083,             0.99319,              0.7954,             0.01652,           0.0049858,          0.00056343,            0.004852,            0.004852,            0.004852
                  28,            0.022548,            0.010615,            0.002467,             0.97286,             0.99049,             0.99416,             0.80195,            0.015608,           0.0049359,          0.00054545,            0.004654,            0.004654,            0.004654
                  29,            0.022296,              0.0107,           0.0026331,             0.98108,             0.98318,             0.99412,             0.79389,            0.015413,           0.0048649,          0.00052818,            0.004456,            0.004456,            0.004456
                  30,            0.021588,            0.010426,           0.0022975,             0.98195,             0.98626,             0.99402,              0.8049,             0.01534,           0.0047959,           0.0003221,            0.004258,            0.004258,            0.004258
                  31,            0.021436,           0.0097869,           0.0022111,             0.98324,             0.99056,             0.99415,             0.80577,            0.015028,           0.0047927,          0.00034557,             0.00406,             0.00406,             0.00406
                  32,            0.020624,            0.010095,           0.0023727,             0.97618,             0.99218,             0.99428,             0.81516,            0.014164,           0.0046973,           0.0003429,            0.003862,            0.003862,            0.003862
                  33,              0.0204,            0.010036,           0.0027546,              0.9897,             0.99471,             0.99484,             0.83752,            0.013882,           0.0044989,          0.00036466,            0.003664,            0.003664,            0.003664
                  34,            0.019866,           0.0094665,           0.0027849,             0.98709,             0.99505,             0.99463,             0.83913,            0.013508,           0.0044871,          0.00037874,            0.003466,            0.003466,            0.003466
                  35,            0.019785,            0.010106,           0.0019071,              0.9838,             0.99682,             0.99469,             0.84382,            0.013271,           0.0045455,          0.00033556,            0.003268,            0.003268,            0.003268
                  36,            0.019948,           0.0096423,           0.0019349,             0.99087,              0.9877,             0.99465,             0.83646,            0.013035,           0.0044288,          0.00026535,             0.00307,             0.00307,             0.00307
                  37,            0.018885,           0.0093418,           0.0013779,             0.98946,              0.9967,             0.99487,             0.84043,            0.013179,           0.0043496,          0.00021878,            0.002872,            0.002872,            0.002872
                  38,            0.019034,           0.0093613,           0.0016422,             0.98462,             0.99756,             0.99487,             0.85287,            0.012686,           0.0042266,          0.00020569,            0.002674,            0.002674,            0.002674
                  39,             0.01841,           0.0091674,           0.0015361,             0.99286,             0.99568,             0.99492,             0.85017,             0.01212,            0.004176,          0.00020729,            0.002476,            0.002476,            0.002476
                  40,            0.018388,           0.0090244,           0.0015623,             0.99235,             0.99316,             0.99491,             0.84303,            0.012187,           0.0041769,          0.00019033,            0.002278,            0.002278,            0.002278
                  41,              0.0177,           0.0094108,           0.0014146,              0.9942,             0.99178,             0.99494,               0.856,             0.01194,           0.0040673,           0.0001671,             0.00208,             0.00208,             0.00208
                  42,            0.017257,           0.0086128,          0.00092908,             0.99329,             0.99306,             0.99494,              0.8655,            0.011697,           0.0040136,          0.00015112,            0.001882,            0.001882,            0.001882
                  43,             0.01763,            0.008612,          0.00090427,             0.99449,             0.99456,             0.99489,             0.86618,            0.011354,           0.0039614,           0.0001378,            0.001684,            0.001684,            0.001684
                  44,            0.016933,           0.0086174,             0.00103,             0.99091,             0.99506,             0.99486,             0.86999,            0.011356,           0.0039751,          0.00011745,            0.001486,            0.001486,            0.001486
                  45,             0.01634,           0.0089432,           0.0015045,             0.99474,             0.99735,             0.99492,             0.87325,            0.011017,           0.0039007,          0.00011657,            0.001288,            0.001288,            0.001288
                  46,            0.015744,           0.0084894,           0.0012904,             0.99471,             0.99753,             0.99495,             0.87501,            0.010998,           0.0038684,          0.00012188,             0.00109,             0.00109,             0.00109
                  47,            0.015312,           0.0083196,          0.00085254,             0.99285,             0.99651,             0.99494,             0.87663,            0.010706,           0.0038495,           0.0001112,            0.000892,            0.000892,            0.000892
                  48,            0.015772,           0.0082147,          0.00083959,              0.9933,             0.99651,             0.99496,             0.87946,            0.010539,           0.0038355,          0.00010899,            0.000694,            0.000694,            0.000694
                  49,            0.015672,           0.0085924,          0.00092376,             0.99375,             0.99735,             0.99496,             0.88236,            0.010395,           0.0037808,          0.00010404,            0.000496,            0.000496,            0.000496
